"행정구역","2022년01월_계_총인구수","2022년01월_계_연령구간인구수","2022년01월_계_0~9세","2022년01월_남_총인구수","2022년01월_남_연령구간인구수","2022년01월_남_0~9세","2022년01월_여_총인구수","2022년01월_여_연령구간인구수","2022년01월_여_0~9세","2022년02월_계_총인구수","2022년02월_계_연령구간인구수","2022년02월_계_0~9세","2022년02월_남_총인구수","2022년02월_남_연령구간인구수","2022년02월_남_0~9세","2022년02월_여_총인구수","2022년02월_여_연령구간인구수","2022년02월_여_0~9세","2022년03월_계_총인구수","2022년03월_계_연령구간인구수","2022년03월_계_0~9세","2022년03월_남_총인구수","2022년03월_남_연령구간인구수","2022년03월_남_0~9세","2022년03월_여_총인구수","2022년03월_여_연령구간인구수","2022년03월_여_0~9세","2022년04월_계_총인구수","2022년04월_계_연령구간인구수","2022년04월_계_0~9세","2022년04월_남_총인구수","2022년04월_남_연령구간인구수","2022년04월_남_0~9세","2022년04월_여_총인구수","2022년04월_여_연령구간인구수","2022년04월_여_0~9세","2022년05월_계_총인구수","2022년05월_계_연령구간인구수","2022년05월_계_0~9세","2022년05월_남_총인구수","2022년05월_남_연령구간인구수","2022년05월_남_0~9세","2022년05월_여_총인구수","2022년05월_여_연령구간인구수","2022년05월_여_0~9세","2022년06월_계_총인구수","2022년06월_계_연령구간인구수","2022년06월_계_0~9세","2022년06월_남_총인구수","2022년06월_남_연령구간인구수","2022년06월_남_0~9세","2022년06월_여_총인구수","2022년06월_여_연령구간인구수","2022년06월_여_0~9세"
"경기도 경기도 의정부시 (4115000000)","463,877","32,824","32,824","228,582","17,005","17,005","235,295","15,819","15,819","463,977","32,592","32,592","228,565","16,884","16,884","235,412","15,708","15,708","464,262","32,446","32,446","228,528","16,818","16,818","235,734","15,628","15,628","464,358","32,355","32,355","228,485","16,764","16,764","235,873","15,591","15,591","464,397","32,159","32,159","228,500","16,655","16,655","235,897","15,504","15,504","464,171","31,990","31,990","228,370","16,571","16,571","235,801","15,419","15,419"
"경기도 경기도 안양시 (4117000000)","548,654","37,855","37,855","271,291","19,282","19,282","277,363","18,573","18,573","549,827","37,959","37,959","271,807","19,305","19,305","278,020","18,654","18,654","549,826","37,856","37,856","271,787","19,268","19,268","278,039","18,588","18,588","549,724","37,733","37,733","271,732","19,201","19,201","277,992","18,532","18,532","549,917","37,651","37,651","271,772","19,150","19,150","278,145","18,501","18,501","549,659","37,570","37,570","271,606","19,113","19,113","278,053","18,457","18,457"
"경기도 경기도 안양시 만안구 (4117100000)","237,288","14,580","14,580","118,729","7,386","7,386","118,559","7,194","7,194","236,611","14,441","14,441","118,334","7,298","7,298","118,277","7,143","7,143","236,237","14,383","14,383","118,137","7,252","7,252","118,100","7,131","7,131","235,843","14,332","14,332","117,920","7,214","7,214","117,923","7,118","7,118","235,229","14,225","14,225","117,563","7,157","7,157","117,666","7,068","7,068","234,712","14,178","14,178","117,321","7,134","7,134","117,391","7,044","7,044"
"경기도 경기도 안양시 동안구 (4117300000)","311,366","23,275","23,275","152,562","11,896","11,896","158,804","11,379","11,379","313,216","23,518","23,518","153,473","12,007","12,007","159,743","11,511","11,511","313,589","23,473","23,473","153,650","12,016","12,016","159,939","11,457","11,457","313,881","23,401","23,401","153,812","11,987","11,987","160,069","11,414","11,414","314,688","23,426","23,426","154,209","11,993","11,993","160,479","11,433","11,433","314,947","23,392","23,392","154,285","11,979","11,979","160,662","11,413","11,413"
"경기도 경기도 부천시 (4119000000)","804,990","52,590","52,590","398,884","27,090","27,090","406,106","25,500","25,500","803,585","52,176","52,176","398,181","26,886","26,886","405,404","25,290","25,290","802,473","51,908","51,908","397,553","26,746","26,746","404,920","25,162","25,162","801,503","51,652","51,652","397,002","26,575","26,575","404,501","25,077","25,077","800,174","51,326","51,326","396,345","26,384","26,384","403,829","24,942","24,942","798,999","51,014","51,014","395,747","26,241","26,241","403,252","24,773","24,773"
"경기도 경기도 광명시 (4121000000)","292,214","21,642","21,642","144,045","11,017","11,017","148,169","10,625","10,625","291,331","21,442","21,442","143,619","10,923","10,923","147,712","10,519","10,519","290,698","21,283","21,283","143,260","10,859","10,859","147,438","10,424","10,424","290,756","21,241","21,241","143,275","10,834","10,834","147,481","10,407","10,407","290,726","21,168","21,168","143,210","10,812","10,812","147,516","10,356","10,356","290,501","21,035","21,035","143,076","10,745","10,745","147,425","10,290","10,290"
"경기도 경기도 평택시 (4122000000)","565,827","50,019","50,019","294,957","25,409","25,409","270,870","24,610","24,610","567,411","50,052","50,052","295,924","25,399","25,399","271,487","24,653","24,653","568,405","49,877","49,877","296,567","25,309","25,309","271,838","24,568","24,568","569,369","49,711","49,711","297,227","25,249","25,249","272,142","24,462","24,462","570,868","49,705","49,705","298,058","25,237","25,237","272,810","24,468","24,468","572,548","49,797","49,797","299,111","25,276","25,276","273,437","24,521","24,521"
"경기도 경기도 동두천시 (4125000000)","93,527","5,775","5,775","46,663","2,960","2,960","46,864","2,815","2,815","93,395","5,735","5,735","46,607","2,941","2,941","46,788","2,794","2,794","93,346","5,683","5,683","46,590","2,908","2,908","46,756","2,775","2,775","93,260","5,643","5,643","46,540","2,889","2,889","46,720","2,754","2,754","93,189","5,614","5,614","46,501","2,876","2,876","46,688","2,738","2,738","92,999","5,569","5,569","46,398","2,858","2,858","46,601","2,711","2,711"
"경기도 경기도 안산시 (4127000000)","652,036","41,445","41,445","334,331","21,218","21,218","317,705","20,227","20,227","651,419","41,115","41,115","334,081","21,058","21,058","317,338","20,057","20,057","651,153","40,878","40,878","333,951","20,902","20,902","317,202","19,976","19,976","650,708","40,714","40,714","333,727","20,822","20,822","316,981","19,892","19,892","649,776","40,372","40,372","333,233","20,671","20,671","316,543","19,701","19,701","648,849","40,152","40,152","332,725","20,551","20,551","316,124","19,601","19,601"
"경기도 경기도 안산시 상록구 (4127100000)","349,973","21,635","21,635","178,608","11,077","11,077","171,365","10,558","10,558","349,515","21,442","21,442","178,419","10,978","10,978","171,096","10,464","10,464","349,670","21,316","21,316","178,510","10,890","10,890","171,160","10,426","10,426","349,566","21,193","21,193","178,494","10,833","10,833","171,072","10,360","10,360","349,083","20,995","20,995","178,218","10,738","10,738","170,865","10,257","10,257","348,620","20,898","20,898","177,961","10,682","10,682","170,659","10,216","10,216"
"경기도 경기도 안산시 단원구 (4127300000)","302,063","19,810","19,810","155,723","10,141","10,141","146,340","9,669","9,669","301,904","19,673","19,673","155,662","10,080","10,080","146,242","9,593","9,593","301,483","19,562","19,562","155,441","10,012","10,012","146,042","9,550","9,550","301,142","19,521","19,521","155,233","9,989","9,989","145,909","9,532","9,532","300,693","19,377","19,377","155,015","9,933","9,933","145,678","9,444","9,444","300,229","19,254","19,254","154,764","9,869","9,869","145,465","9,385","9,385"
"경기도 경기도 고양시 (4128000000)","1,078,924","77,470","77,470","527,754","39,421","39,421","551,170","38,049","38,049","1,078,772","77,303","77,303","527,475","39,323","39,323","551,297","37,980","37,980","1,079,065","77,017","77,017","527,547","39,209","39,209","551,518","37,808","37,808","1,079,277","76,769","76,769","527,548","39,048","39,048","551,729","37,721","37,721","1,078,975","76,359","76,359","527,265","38,832","38,832","551,710","37,527","37,527","1,078,559","75,996","75,996","526,937","38,611","38,611","551,622","37,385","37,385"
"경기도 경기도 고양시 덕양구 (4128100000)","483,251","36,980","36,980","238,480","18,819","18,819","244,771","18,161","18,161","483,743","36,906","36,906","238,575","18,763","18,763","245,168","18,143","18,143","484,122","36,748","36,748","238,688","18,695","18,695","245,434","18,053","18,053","484,656","36,621","36,621","238,877","18,626","18,626","245,779","17,995","17,995","484,928","36,485","36,485","238,947","18,552","18,552","245,981","17,933","17,933","485,137","36,362","36,362","238,956","18,478","18,478","246,181","17,884","17,884"
"경기도 경기도 고양시 일산동구 (4128500000)","298,593","19,691","19,691","145,188","10,080","10,080","153,405","9,611","9,611","298,563","19,710","19,710","145,182","10,106","10,106","153,381","9,604","9,604","299,256","19,766","19,766","145,540","10,147","10,147","153,716","9,619","9,619","299,399","19,802","19,802","145,613","10,139","10,139","153,786","9,663","9,663","299,123","19,683","19,683","145,432","10,066","10,066","153,691","9,617","9,617","299,065","19,610","19,610","145,350","10,004","10,004","153,715","9,606","9,606"
"경기도 경기도 고양시 일산서구 (4128700000)","297,080","20,799","20,799","144,086","10,522","10,522","152,994","10,277","10,277","296,466","20,687","20,687","143,718","10,454","10,454","152,748","10,233","10,233","295,687","20,503","20,503","143,319","10,367","10,367","152,368","10,136","10,136","295,222","20,346","20,346","143,058","10,283","10,283","152,164","10,063","10,063","294,924","20,191","20,191","142,886","10,214","10,214","152,038","9,977","9,977","294,357","20,024","20,024","142,631","10,129","10,129","151,726","9,895","9,895"
"경기도 경기도 과천시 (4129000000)","76,139","6,969","6,969","37,479","3,614","3,614","38,660","3,355","3,355","77,632","7,258","7,258","38,213","3,770","3,770","39,419","3,488","3,488","78,128","7,262","7,262","38,430","3,770","3,770","39,698","3,492","3,492","78,301","7,252","7,252","38,528","3,764","3,764","39,773","3,488","3,488","78,414","7,264","7,264","38,548","3,766","3,766","39,866","3,498","3,498","78,532","7,252","7,252","38,605","3,761","3,761","39,927","3,491","3,491"
"경기도 경기도 구리시 (4131000000)","191,660","13,851","13,851","95,043","7,171","7,171","96,617","6,680","6,680","191,322","13,715","13,715","94,831","7,093","7,093","96,491","6,622","6,622","191,213","13,638","13,638","94,779","7,044","7,044","96,434","6,594","6,594","191,011","13,565","13,565","94,668","7,019","7,019","96,343","6,546","6,546","190,647","13,434","13,434","94,493","6,952","6,952","96,154","6,482","6,482","190,379","13,324","13,324","94,318","6,899","6,899","96,061","6,425","6,425"
"경기도 경기도 남양주시 (4136000000)","734,013","63,060","63,060","365,168","32,420","32,420","368,845","30,640","30,640","733,995","62,678","62,678","365,147","32,225","32,225","368,848","30,453","30,453","734,033","62,257","62,257","365,062","32,021","32,021","368,971","30,236","30,236","734,642","61,907","61,907","365,264","31,820","31,820","369,378","30,087","30,087","735,547","61,699","61,699","365,710","31,710","31,710","369,837","29,989","29,989","736,212","61,394","61,394","366,068","31,534","31,534","370,144","29,860","29,860"
"경기도 경기도 오산시 (4137000000)","229,973","21,500","21,500","119,451","10,997","10,997","110,522","10,503","10,503","229,909","21,362","21,362","119,393","10,904","10,904","110,516","10,458","10,458","229,918","21,213","21,213","119,410","10,821","10,821","110,508","10,392","10,392","230,028","21,083","21,083","119,526","10,755","10,755","110,502","10,328","10,328","230,011","20,937","20,937","119,574","10,701","10,701","110,437","10,236","10,236","230,165","20,790","20,790","119,696","10,620","10,620","110,469","10,170","10,170"
"경기도 경기도 시흥시 (4139000000)","512,092","47,306","47,306","267,436","24,016","24,016","244,656","23,290","23,290","511,839","47,067","47,067","267,286","23,886","23,886","244,553","23,181","23,181","512,455","46,821","46,821","267,788","23,762","23,762","244,667","23,059","23,059","512,721","46,671","46,671","267,980","23,704","23,704","244,741","22,967","22,967","513,653","46,687","46,687","268,378","23,673","23,673","245,275","23,014","23,014","513,928","46,562","46,562","268,455","23,589","23,589","245,473","22,973","22,973"
"경기도 경기도 군포시 (4141000000)","267,941","18,428","18,428","132,899","9,431","9,431","135,042","8,997","8,997","267,294","18,212","18,212","132,546","9,316","9,316","134,748","8,896","8,896","267,173","18,165","18,165","132,531","9,306","9,306","134,642","8,859","8,859","267,493","18,143","18,143","132,695","9,292","9,292","134,798","8,851","8,851","267,659","18,050","18,050","132,808","9,233","9,233","134,851","8,817","8,817","267,712","17,955","17,955","132,818","9,200","9,200","134,894","8,755","8,755"
"경기도 경기도 의왕시 (4143000000)","163,040","12,530","12,530","80,966","6,448","6,448","82,074","6,082","6,082","162,761","12,446","12,446","80,826","6,405","6,405","81,935","6,041","6,041","162,493","12,381","12,381","80,678","6,365","6,365","81,815","6,016","6,016","162,137","12,341","12,341","80,496","6,346","6,346","81,641","5,995","5,995","161,696","12,287","12,287","80,259","6,311","6,311","81,437","5,976","5,976","161,334","12,245","12,245","80,052","6,273","6,273","81,282","5,972","5,972"
"경기도 경기도 하남시 (4145000000)","321,043","32,763","32,763","160,622","16,808","16,808","160,421","15,955","15,955","322,697","32,948","32,948","161,351","16,878","16,878","161,346","16,070","16,070","323,442","32,868","32,868","161,709","16,826","16,826","161,733","16,042","16,042","323,558","32,788","32,788","161,759","16,772","16,772","161,799","16,016","16,016","323,675","32,679","32,679","161,833","16,727","16,727","161,842","15,952","15,952","323,790","32,520","32,520","161,887","16,630","16,630","161,903","15,890","15,890"
"경기도 경기도 용인시 (4146000000)","1,076,830","93,800","93,800","534,163","47,962","47,962","542,667","45,838","45,838","1,076,339","93,259","93,259","533,912","47,659","47,659","542,427","45,600","45,600","1,075,784","92,690","92,690","533,595","47,379","47,379","542,189","45,311","45,311","1,075,877","92,224","92,224","533,650","47,097","47,097","542,227","45,127","45,127","1,076,530","91,713","91,713","534,143","46,875","46,875","542,387","44,838","44,838","1,077,609","91,252","91,252","534,851","46,640","46,640","542,758","44,612","44,612"
"경기도 경기도 용인시 처인구 (4146100000)","259,969","19,780","19,780","133,382","10,129","10,129","126,587","9,651","9,651","260,029","19,694","19,694","133,417","10,105","10,105","126,612","9,589","9,589","259,786","19,559","19,559","133,255","10,048","10,048","126,531","9,511","9,511","260,440","19,510","19,510","133,691","10,026","10,026","126,749","9,484","9,484","261,276","19,442","19,442","134,179","10,002","10,002","127,097","9,440","9,440","261,898","19,345","19,345","134,598","9,954","9,954","127,300","9,391","9,391"
"경기도 경기도 용인시 기흥구 (4146300000)","441,419","39,327","39,327","217,849","20,205","20,205","223,570","19,122","19,122","441,173","38,995","38,995","217,739","20,001","20,001","223,434","18,994","18,994","440,826","38,640","38,640","217,571","19,823","19,823","223,255","18,817","18,817","440,298","38,361","38,361","217,176","19,651","19,651","223,122","18,710","18,710","439,990","38,043","38,043","217,099","19,506","19,506","222,891","18,537","18,537","439,877","37,750","37,750","217,063","19,339","19,339","222,814","18,411","18,411"
"경기도 경기도 용인시 수지구 (4146500000)","375,442","34,693","34,693","182,932","17,628","17,628","192,510","17,065","17,065","375,137","34,570","34,570","182,756","17,553","17,553","192,381","17,017","17,017","375,172","34,491","34,491","182,769","17,508","17,508","192,403","16,983","16,983","375,139","34,353","34,353","182,783","17,420","17,420","192,356","16,933","16,933","375,264","34,228","34,228","182,865","17,367","17,367","192,399","16,861","16,861","375,834","34,157","34,157","183,190","17,347","17,347","192,644","16,810","16,810"
"경기도 경기도 파주시 (4148000000)","484,729","43,293","43,293","245,879","22,089","22,089","238,850","21,204","21,204","485,672","43,206","43,206","246,377","22,034","22,034","239,295","21,172","21,172","486,131","43,030","43,030","246,706","21,957","21,957","239,425","21,073","21,073","486,515","42,783","42,783","246,910","21,829","21,829","239,605","20,954","20,954","486,872","42,618","42,618","247,137","21,768","21,768","239,735","20,850","20,850","487,831","42,506","42,506","247,681","21,706","21,706","240,150","20,800","20,800"
"경기도 경기도 이천시 (4150000000)","222,997","17,749","17,749","115,704","9,169","9,169","107,293","8,580","8,580","222,655","17,620","17,620","115,556","9,098","9,098","107,099","8,522","8,522","222,714","17,529","17,529","115,639","9,056","9,056","107,075","8,473","8,473","222,722","17,482","17,482","115,649","9,052","9,052","107,073","8,430","8,430","222,948","17,409","17,409","115,858","8,996","8,996","107,090","8,413","8,413","223,948","17,297","17,297","116,438","8,925","8,925","107,510","8,372","8,372"
"경기도 경기도 안성시 (4155000000)","189,510","13,050","13,050","97,864","6,739","6,739","91,646","6,311","6,311","189,535","12,966","12,966","97,918","6,706","6,706","91,617","6,260","6,260","189,539","12,877","12,877","97,908","6,675","6,675","91,631","6,202","6,202","189,772","12,831","12,831","98,093","6,657","6,657","91,679","6,174","6,174","189,969","12,782","12,782","98,127","6,631","6,631","91,842","6,151","6,151","189,988","12,690","12,690","98,110","6,591","6,591","91,878","6,099","6,099"
"경기도 경기도 김포시 (4157000000)","486,651","53,298","53,298","243,429","27,149","27,149","243,222","26,149","26,149","486,334","52,913","52,913","243,242","26,992","26,992","243,092","25,921","25,921","485,882","52,514","52,514","243,002","26,789","26,789","242,880","25,725","25,725","485,609","52,226","52,226","242,877","26,657","26,657","242,732","25,569","25,569","485,453","51,901","51,901","242,809","26,515","26,515","242,644","25,386","25,386","485,395","51,550","51,550","242,718","26,339","26,339","242,677","25,211","25,211"
"경기도 경기도 화성시 (4159000000)","887,910","100,629","100,629","461,279","51,292","51,292","426,631","49,337","49,337","889,398","100,168","100,168","462,137","51,060","51,060","427,261","49,108","49,108","890,668","99,763","99,763","462,876","50,905","50,905","427,792","48,858","48,858","892,038","99,321","99,321","463,590","50,706","50,706","428,448","48,615","48,615","894,587","98,950","98,950","465,017","50,540","50,540","429,570","48,410","48,410","896,147","98,459","98,459","465,868","50,294","50,294","430,279","48,165","48,165"
"경기도 경기도 광주시 (4161000000)","387,563","33,143","33,143","197,738","16,904","16,904","189,825","16,239","16,239","387,646","32,988","32,988","197,783","16,845","16,845","189,863","16,143","16,143","388,213","32,841","32,841","198,100","16,749","16,749","190,113","16,092","16,092","388,893","32,763","32,763","198,452","16,712","16,712","190,441","16,051","16,051","389,483","32,664","32,664","198,743","16,648","16,648","190,740","16,016","16,016","389,876","32,484","32,484","198,918","16,556","16,556","190,958","15,928","15,928"
"경기도 경기도 양주시 (4163000000)","236,284","19,526","19,526","119,759","9,920","9,920","116,525","9,606","9,606","236,327","19,443","19,443","119,794","9,872","9,872","116,533","9,571","9,571","236,239","19,298","19,298","119,761","9,793","9,793","116,478","9,505","9,505","236,142","19,182","19,182","119,703","9,735","9,735","116,439","9,447","9,447","236,120","19,075","19,075","119,676","9,676","9,676","116,444","9,399","9,399","237,156","19,105","19,105","120,188","9,709","9,709","116,968","9,396","9,396"
"경기도 경기도 포천시 (4165000000)","148,867","8,047","8,047","78,888","4,136","4,136","69,979","3,911","3,911","148,765","8,008","8,008","78,859","4,123","4,123","69,906","3,885","3,885","148,527","7,956","7,956","78,764","4,081","4,081","69,763","3,875","3,875","148,469","7,927","7,927","78,734","4,068","4,068","69,735","3,859","3,859","148,326","7,898","7,898","78,631","4,060","4,060","69,695","3,838","3,838","148,066","7,822","7,822","78,483","4,027","4,027","69,583","3,795","3,795"
"경기도 경기도 여주시 (4167000000)","112,353","6,817","6,817","57,131","3,513","3,513","55,222","3,304","3,304","112,469","6,817","6,817","57,214","3,507","3,507","55,255","3,310","3,310","112,393","6,801","6,801","57,167","3,499","3,499","55,226","3,302","3,302","112,410","6,768","6,768","57,176","3,482","3,482","55,234","3,286","3,286","112,558","6,757","6,757","57,241","3,471","3,471","55,317","3,286","3,286","112,639","6,725","6,725","57,300","3,462","3,462","55,339","3,263","3,263"
"경기도 경기도 연천군 (4180000000)","42,739","2,529","2,529","22,416","1,291","1,291","20,323","1,238","1,238","42,725","2,502","2,502","22,402","1,272","1,272","20,323","1,230","1,230","42,784","2,485","2,485","22,452","1,269","1,269","20,332","1,216","1,216","42,731","2,479","2,479","22,438","1,267","1,267","20,293","1,212","1,212","42,675","2,460","2,460","22,420","1,263","1,263","20,255","1,197","1,197","42,625","2,439","2,439","22,394","1,247","1,247","20,231","1,192","1,192"
"경기도 경기도 가평군 (4182000000)","62,291","3,124","3,124","32,135","1,559","1,559","30,156","1,565","1,565","62,247","3,100","3,100","32,105","1,549","1,549","30,142","1,551","1,551","62,221","3,068","3,068","32,070","1,542","1,542","30,151","1,526","1,526","62,168","3,047","3,047","32,046","1,537","1,537","30,122","1,510","1,510","62,224","3,014","3,014","32,068","1,518","1,518","30,156","1,496","1,496","62,306","3,029","3,029","32,135","1,531","1,531","30,171","1,498","1,498"
"경기도 경기도 양평군 (4183000000)","121,300","7,034","7,034","60,885","3,621","3,621","60,415","3,413","3,413","121,364","6,997","6,997","60,919","3,606","3,606","60,445","3,391","3,391","121,726","6,961","6,961","61,138","3,584","3,584","60,588","3,377","3,377","121,789","6,937","6,937","61,176","3,578","3,578","60,613","3,359","3,359","122,046","6,911","6,911","61,338","3,554","3,554","60,708","3,357","3,357","122,355","6,864","6,864","61,515","3,535","3,535","60,840","3,329","3,329"
