"행정구역","2022년01월_계_총인구수","2022년01월_계_연령구간인구수","2022년01월_계_0~9세","2022년01월_남_총인구수","2022년01월_남_연령구간인구수","2022년01월_남_0~9세","2022년01월_여_총인구수","2022년01월_여_연령구간인구수","2022년01월_여_0~9세","2022년02월_계_총인구수","2022년02월_계_연령구간인구수","2022년02월_계_0~9세","2022년02월_남_총인구수","2022년02월_남_연령구간인구수","2022년02월_남_0~9세","2022년02월_여_총인구수","2022년02월_여_연령구간인구수","2022년02월_여_0~9세","2022년03월_계_총인구수","2022년03월_계_연령구간인구수","2022년03월_계_0~9세","2022년03월_남_총인구수","2022년03월_남_연령구간인구수","2022년03월_남_0~9세","2022년03월_여_총인구수","2022년03월_여_연령구간인구수","2022년03월_여_0~9세","2022년04월_계_총인구수","2022년04월_계_연령구간인구수","2022년04월_계_0~9세","2022년04월_남_총인구수","2022년04월_남_연령구간인구수","2022년04월_남_0~9세","2022년04월_여_총인구수","2022년04월_여_연령구간인구수","2022년04월_여_0~9세","2022년05월_계_총인구수","2022년05월_계_연령구간인구수","2022년05월_계_0~9세","2022년05월_남_총인구수","2022년05월_남_연령구간인구수","2022년05월_남_0~9세","2022년05월_여_총인구수","2022년05월_여_연령구간인구수","2022년05월_여_0~9세","2022년06월_계_총인구수","2022년06월_계_연령구간인구수","2022년06월_계_0~9세","2022년06월_남_총인구수","2022년06월_남_연령구간인구수","2022년06월_남_0~9세","2022년06월_여_총인구수","2022년06월_여_연령구간인구수","2022년06월_여_0~9세"
"경기도  (4100000000)","13,571,450","1,094,137","1,094,137","6,830,317","559,696","559,696","6,741,133","534,441","534,441","13,574,369","1,089,606","1,089,606","6,831,902","557,409","557,409","6,742,467","532,197","532,197","13,575,936","1,084,104","1,084,104","6,832,830","554,679","554,679","6,743,106","529,425","529,425","13,577,808","1,079,575","1,079,575","6,833,859","552,339","552,339","6,743,949","527,236","527,236","13,581,496","1,074,872","1,074,872","6,835,968","549,919","549,919","6,745,528","524,953","524,953","13,585,967","1,069,995","1,069,995","6,838,396","547,358","547,358","6,747,571","522,637","522,637"
"경기도 경기도 수원시 (4111000000)","1,184,404","90,579","90,579","596,225","46,623","46,623","588,179","43,956","43,956","1,184,996","90,149","90,149","596,672","46,439","46,439","588,324","43,710","43,710","1,185,569","89,677","89,677","597,078","46,252","46,252","588,491","43,425","43,425","1,185,560","89,327","89,327","597,105","46,092","46,092","588,455","43,235","43,235","1,185,041","88,902","88,902","596,940","45,854","45,854","588,101","43,048","43,048","1,185,044","88,509","88,509","596,982","45,663","45,663","588,062","42,846","42,846"
"경기도 경기도 수원시 장안구 (4111100000)","273,399","17,386","17,386","137,537","8,914","8,914","135,862","8,472","8,472","273,339","17,249","17,249","137,615","8,850","8,850","135,724","8,399","8,399","273,541","17,129","17,129","137,791","8,788","8,788","135,750","8,341","8,341","273,238","17,016","17,016","137,605","8,722","8,722","135,633","8,294","8,294","272,963","16,912","16,912","137,429","8,643","8,643","135,534","8,269","8,269","273,223","16,910","16,910","137,576","8,648","8,648","135,647","8,262","8,262"
"경기도 경기도 수원시 권선구 (4111300000)","367,044","29,981","29,981","185,404","15,419","15,419","181,640","14,562","14,562","368,667","30,050","30,050","186,205","15,469","15,469","182,462","14,581","14,581","369,288","29,893","29,893","186,562","15,414","15,414","182,726","14,479","14,479","369,525","29,816","29,816","186,706","15,375","15,375","182,819","14,441","14,441","369,217","29,665","29,665","186,627","15,316","15,316","182,590","14,349","14,349","369,188","29,540","29,540","186,636","15,281","15,281","182,552","14,259","14,259"
"경기도 경기도 수원시 팔달구 (4111500000)","181,990","9,939","9,939","91,763","5,042","5,042","90,227","4,897","4,897","181,806","9,862","9,862","91,643","4,982","4,982","90,163","4,880","4,880","181,595","9,828","9,828","91,523","4,955","4,955","90,072","4,873","4,873","181,395","9,848","9,848","91,418","4,971","4,971","89,977","4,877","4,877","181,280","9,828","9,828","91,330","4,969","4,969","89,950","4,859","4,859","181,123","9,782","9,782","91,205","4,945","4,945","89,918","4,837","4,837"
"경기도 경기도 수원시 영통구 (4111700000)","361,971","33,273","33,273","181,521","17,248","17,248","180,450","16,025","16,025","361,184","32,988","32,988","181,209","17,138","17,138","179,975","15,850","15,850","361,145","32,827","32,827","181,202","17,095","17,095","179,943","15,732","15,732","361,402","32,647","32,647","181,376","17,024","17,024","180,026","15,623","15,623","361,581","32,497","32,497","181,554","16,926","16,926","180,027","15,571","15,571","361,510","32,277","32,277","181,565","16,789","16,789","179,945","15,488","15,488"
"경기도 경기도 성남시 (4113000000)","931,072","65,492","65,492","461,251","33,422","33,422","469,821","32,070","32,070","930,731","65,410","65,410","461,160","33,451","33,451","469,571","31,959","31,959","929,463","65,061","65,061","460,404","33,215","33,215","469,059","31,846","31,846","928,267","64,710","64,710","459,808","33,016","33,016","468,459","31,694","31,694","927,340","64,427","64,427","459,333","32,860","32,860","468,007","31,567","31,567","926,645","64,099","64,099","458,946","32,661","32,661","467,699","31,438","31,438"
"경기도 경기도 성남시 수정구 (4113100000)","235,887","14,843","14,843","119,515","7,502","7,502","116,372","7,341","7,341","235,616","14,815","14,815","119,415","7,514","7,514","116,201","7,301","7,301","235,377","14,745","14,745","119,276","7,459","7,459","116,101","7,286","7,286","235,103","14,716","14,716","119,150","7,432","7,432","115,953","7,284","7,284","234,748","14,667","14,667","118,967","7,411","7,411","115,781","7,256","7,256","234,728","14,636","14,636","118,945","7,388","7,388","115,783","7,248","7,248"
"경기도 경기도 성남시 중원구 (4113300000)","210,344","12,077","12,077","106,563","6,164","6,164","103,781","5,913","5,913","209,991","11,983","11,983","106,418","6,112","6,112","103,573","5,871","5,871","209,406","11,879","11,879","106,086","6,053","6,053","103,320","5,826","5,826","208,846","11,802","11,802","105,818","6,018","6,018","103,028","5,784","5,784","208,356","11,741","11,741","105,597","5,986","5,986","102,759","5,755","5,755","207,896","11,683","11,683","105,334","5,954","5,954","102,562","5,729","5,729"
"경기도 경기도 성남시 분당구 (4113500000)","484,841","38,572","38,572","235,173","19,756","19,756","249,668","18,816","18,816","485,124","38,612","38,612","235,327","19,825","19,825","249,797","18,787","18,787","484,680","38,437","38,437","235,042","19,703","19,703","249,638","18,734","18,734","484,318","38,192","38,192","234,840","19,566","19,566","249,478","18,626","18,626","484,236","38,019","38,019","234,769","19,463","19,463","249,467","18,556","18,556","484,021","37,780","37,780","234,667","19,319","19,319","249,354","18,461","18,461"
