"행정구역","2023년01월_계_총인구수","2023년01월_계_연령구간인구수","2023년01월_계_0~9세","2023년01월_남_총인구수","2023년01월_남_연령구간인구수","2023년01월_남_0~9세","2023년01월_여_총인구수","2023년01월_여_연령구간인구수","2023년01월_여_0~9세","2023년02월_계_총인구수","2023년02월_계_연령구간인구수","2023년02월_계_0~9세","2023년02월_남_총인구수","2023년02월_남_연령구간인구수","2023년02월_남_0~9세","2023년02월_여_총인구수","2023년02월_여_연령구간인구수","2023년02월_여_0~9세","2023년03월_계_총인구수","2023년03월_계_연령구간인구수","2023년03월_계_0~9세","2023년03월_남_총인구수","2023년03월_남_연령구간인구수","2023년03월_남_0~9세","2023년03월_여_총인구수","2023년03월_여_연령구간인구수","2023년03월_여_0~9세","2023년04월_계_총인구수","2023년04월_계_연령구간인구수","2023년04월_계_0~9세","2023년04월_남_총인구수","2023년04월_남_연령구간인구수","2023년04월_남_0~9세","2023년04월_여_총인구수","2023년04월_여_연령구간인구수","2023년04월_여_0~9세","2023년05월_계_총인구수","2023년05월_계_연령구간인구수","2023년05월_계_0~9세","2023년05월_남_총인구수","2023년05월_남_연령구간인구수","2023년05월_남_0~9세","2023년05월_여_총인구수","2023년05월_여_연령구간인구수","2023년05월_여_0~9세","2023년06월_계_총인구수","2023년06월_계_연령구간인구수","2023년06월_계_0~9세","2023년06월_남_총인구수","2023년06월_남_연령구간인구수","2023년06월_남_0~9세","2023년06월_여_총인구수","2023년06월_여_연령구간인구수","2023년06월_여_0~9세"
"경기도  (4100000000)","13,596,091","1,035,744","1,035,744","6,842,226","529,976","529,976","6,753,865","505,768","505,768","13,600,800","1,032,014","1,032,014","6,844,167","528,068","528,068","6,756,633","503,946","503,946","13,603,546","1,027,575","1,027,575","6,845,505","525,824","525,824","6,758,041","501,751","501,751","13,607,919","1,023,072","1,023,072","6,847,848","523,407","523,407","6,760,071","499,665","499,665","13,612,597","1,019,287","1,019,287","6,850,133","521,547","521,547","6,762,464","497,740","497,740","13,618,969","1,016,203","1,016,203","6,852,980","519,980","519,980","6,765,989","496,223","496,223"
"경기도 경기도 수원시 (4111000000)","1,191,620","86,268","86,268","599,937","44,521","44,521","591,683","41,747","41,747","1,192,686","85,943","85,943","600,546","44,334","44,334","592,140","41,609","41,609","1,192,225","85,445","85,445","600,239","44,101","44,101","591,986","41,344","41,344","1,191,821","84,945","84,945","600,021","43,797","43,797","591,800","41,148","41,148","1,191,505","84,578","84,578","599,765","43,593","43,593","591,740","40,985","40,985","1,191,988","84,357","84,357","599,852","43,457","43,457","592,136","40,900","40,900"
"경기도 경기도 수원시 장안구 (4111100000)","270,061","15,778","15,778","135,818","8,060","8,060","134,243","7,718","7,718","269,841","15,622","15,622","135,744","7,975","7,975","134,097","7,647","7,647","269,403","15,522","15,522","135,528","7,920","7,920","133,875","7,602","7,602","269,189","15,399","15,399","135,398","7,826","7,826","133,791","7,573","7,573","268,813","15,308","15,308","135,191","7,774","7,774","133,622","7,534","7,534","269,214","15,308","15,308","135,387","7,774","7,774","133,827","7,534","7,534"
"경기도 경기도 수원시 권선구 (4111300000)","367,601","27,739","27,739","185,767","14,330","14,330","181,834","13,409","13,409","367,638","27,440","27,440","185,764","14,184","14,184","181,874","13,256","13,256","367,618","27,236","27,236","185,722","14,100","14,100","181,896","13,136","13,136","367,324","27,002","27,002","185,585","13,985","13,985","181,739","13,017","13,017","367,779","26,882","26,882","185,774","13,922","13,922","182,005","12,960","12,960","368,501","26,823","26,823","186,128","13,884","13,884","182,373","12,939","12,939"
"경기도 경기도 수원시 팔달구 (4111500000)","192,965","11,451","11,451","97,185","5,886","5,886","95,780","5,565","5,565","193,247","11,395","11,395","97,391","5,863","5,863","95,856","5,532","5,532","193,363","11,347","11,347","97,354","5,828","5,828","96,009","5,519","5,519","193,392","11,322","11,322","97,384","5,816","5,816","96,008","5,506","5,506","193,202","11,284","11,284","97,304","5,800","5,800","95,898","5,484","5,484","192,921","11,232","11,232","97,125","5,777","5,777","95,796","5,455","5,455"
"경기도 경기도 수원시 영통구 (4111700000)","360,993","31,300","31,300","181,167","16,245","16,245","179,826","15,055","15,055","361,960","31,486","31,486","181,647","16,312","16,312","180,313","15,174","15,174","361,841","31,340","31,340","181,635","16,253","16,253","180,206","15,087","15,087","361,916","31,222","31,222","181,654","16,170","16,170","180,262","15,052","15,052","361,711","31,104","31,104","181,496","16,097","16,097","180,215","15,007","15,007","361,352","30,994","30,994","181,212","16,022","16,022","180,140","14,972","14,972"
"경기도 경기도 성남시 (4113000000)","924,087","62,608","62,608","457,590","31,915","31,915","466,497","30,693","30,693","924,051","62,431","62,431","457,452","31,779","31,779","466,599","30,652","30,652","923,416","62,169","62,169","457,196","31,651","31,651","466,220","30,518","30,518","923,344","62,130","62,130","457,190","31,612","31,612","466,154","30,518","30,518","922,914","61,904","61,904","456,920","31,503","31,503","465,994","30,401","30,401","921,434","61,612","61,612","456,118","31,318","31,318","465,316","30,294","30,294"
"경기도 경기도 성남시 수정구 (4113100000)","229,568","13,593","13,593","116,473","6,905","6,905","113,095","6,688","6,688","229,163","13,449","13,449","116,281","6,812","6,812","112,882","6,637","6,637","229,199","13,449","13,449","116,267","6,808","6,808","112,932","6,641","6,641","230,244","13,796","13,796","116,792","6,968","6,968","113,452","6,828","6,828","230,761","13,908","13,908","117,031","7,013","7,013","113,730","6,895","6,895","230,731","13,846","13,846","116,956","6,964","6,964","113,775","6,882","6,882"
"경기도 경기도 성남시 중원구 (4113300000)","213,070","12,783","12,783","107,705","6,441","6,441","105,365","6,342","6,342","214,152","12,901","12,901","108,158","6,476","6,476","105,994","6,425","6,425","214,471","12,897","12,897","108,358","6,491","6,491","106,113","6,406","6,406","214,304","12,817","12,817","108,292","6,451","6,451","106,012","6,366","6,366","214,139","12,802","12,802","108,154","6,446","6,446","105,985","6,356","6,356","213,815","12,758","12,758","107,978","6,421","6,421","105,837","6,337","6,337"
"경기도 경기도 성남시 분당구 (4113500000)","481,449","36,232","36,232","233,412","18,569","18,569","248,037","17,663","17,663","480,736","36,081","36,081","233,013","18,491","18,491","247,723","17,590","17,590","479,746","35,823","35,823","232,571","18,352","18,352","247,175","17,471","17,471","478,796","35,517","35,517","232,106","18,193","18,193","246,690","17,324","17,324","478,014","35,194","35,194","231,735","18,044","18,044","246,279","17,150","17,150","476,888","35,008","35,008","231,184","17,933","17,933","245,704","17,075","17,075"
