"행정구역","2023년07월_계_총인구수","2023년07월_계_연령구간인구수","2023년07월_계_0~9세","2023년07월_남_총인구수","2023년07월_남_연령구간인구수","2023년07월_남_0~9세","2023년07월_여_총인구수","2023년07월_여_연령구간인구수","2023년07월_여_0~9세","2023년08월_계_총인구수","2023년08월_계_연령구간인구수","2023년08월_계_0~9세","2023년08월_남_총인구수","2023년08월_남_연령구간인구수","2023년08월_남_0~9세","2023년08월_여_총인구수","2023년08월_여_연령구간인구수","2023년08월_여_0~9세","2023년09월_계_총인구수","2023년09월_계_연령구간인구수","2023년09월_계_0~9세","2023년09월_남_총인구수","2023년09월_남_연령구간인구수","2023년09월_남_0~9세","2023년09월_여_총인구수","2023년09월_여_연령구간인구수","2023년09월_여_0~9세","2023년10월_계_총인구수","2023년10월_계_연령구간인구수","2023년10월_계_0~9세","2023년10월_남_총인구수","2023년10월_남_연령구간인구수","2023년10월_남_0~9세","2023년10월_여_총인구수","2023년10월_여_연령구간인구수","2023년10월_여_0~9세","2023년11월_계_총인구수","2023년11월_계_연령구간인구수","2023년11월_계_0~9세","2023년11월_남_총인구수","2023년11월_남_연령구간인구수","2023년11월_남_0~9세","2023년11월_여_총인구수","2023년11월_여_연령구간인구수","2023년11월_여_0~9세","2023년12월_계_총인구수","2023년12월_계_연령구간인구수","2023년12월_계_0~9세","2023년12월_남_총인구수","2023년12월_남_연령구간인구수","2023년12월_남_0~9세","2023년12월_여_총인구수","2023년12월_여_연령구간인구수","2023년12월_여_0~9세"
"경기도  (4100000000)","13,623,055","1,011,869","1,011,869","6,854,747","517,818","517,818","6,768,308","494,051","494,051","13,624,964","1,007,256","1,007,256","6,855,409","515,447","515,447","6,769,555","491,809","491,809","13,626,339","1,001,973","1,001,973","6,855,626","512,781","512,781","6,770,713","489,192","489,192","13,627,840","997,818","997,818","6,855,616","510,509","510,509","6,772,224","487,309","487,309","13,628,135","993,742","993,742","6,855,041","508,522","508,522","6,773,094","485,220","485,220","13,630,821","989,550","989,550","6,855,895","506,358","506,358","6,774,926","483,192","483,192"
"경기도 경기도 수원시 (4111000000)","1,192,960","84,125","84,125","600,349","43,350","43,350","592,611","40,775","40,775","1,195,111","83,998","83,998","601,447","43,270","43,270","593,664","40,728","40,728","1,195,718","83,526","83,526","601,621","43,045","43,045","594,097","40,481","40,481","1,196,864","83,355","83,355","602,159","42,944","42,944","594,705","40,411","40,411","1,197,241","82,997","82,997","602,392","42,795","42,795","594,849","40,202","40,202","1,197,257","82,636","82,636","602,346","42,604","42,604","594,911","40,032","40,032"
"경기도 경기도 수원시 장안구 (4111100000)","269,128","15,146","15,146","135,329","7,702","7,702","133,799","7,444","7,444","268,547","14,899","14,899","135,069","7,588","7,588","133,478","7,311","7,311","268,202","14,782","14,782","134,886","7,519","7,519","133,316","7,263","7,263","269,440","15,041","15,041","135,495","7,631","7,631","133,945","7,410","7,410","270,294","15,118","15,118","135,928","7,693","7,693","134,366","7,425","7,425","270,849","15,171","15,171","136,145","7,724","7,724","134,704","7,447","7,447"
"경기도 경기도 수원시 권선구 (4111300000)","368,915","26,745","26,745","186,360","13,854","13,854","182,555","12,891","12,891","368,270","26,537","26,537","186,016","13,754","13,754","182,254","12,783","12,783","367,359","26,179","26,179","185,498","13,579","13,579","181,861","12,600","12,600","366,740","25,930","25,930","185,199","13,436","13,436","181,541","12,494","12,494","366,467","25,698","25,698","185,100","13,324","13,324","181,367","12,374","12,374","366,167","25,476","25,476","184,970","13,212","13,212","181,197","12,264","12,264"
"경기도 경기도 수원시 팔달구 (4111500000)","192,414","11,139","11,139","96,865","5,729","5,729","95,549","5,410","5,410","195,442","11,602","11,602","98,423","5,954","5,954","97,019","5,648","5,648","197,197","11,806","11,806","99,264","6,048","6,048","97,933","5,758","5,758","197,705","11,837","11,837","99,523","6,075","6,075","98,182","5,762","5,762","197,473","11,789","11,789","99,395","6,060","6,060","98,078","5,729","5,729","197,213","11,737","11,737","99,290","6,044","6,044","97,923","5,693","5,693"
"경기도 경기도 수원시 영통구 (4111700000)","362,503","31,095","31,095","181,795","16,065","16,065","180,708","15,030","15,030","362,852","30,960","30,960","181,939","15,974","15,974","180,913","14,986","14,986","362,960","30,759","30,759","181,973","15,899","15,899","180,987","14,860","14,860","362,979","30,547","30,547","181,942","15,802","15,802","181,037","14,745","14,745","363,007","30,392","30,392","181,969","15,718","15,718","181,038","14,674","14,674","363,028","30,252","30,252","181,941","15,624","15,624","181,087","14,628","14,628"
"경기도 경기도 성남시 (4113000000)","919,771","61,261","61,261","455,240","31,135","31,135","464,531","30,126","30,126","918,077","60,850","60,850","454,382","30,922","30,922","463,695","29,928","29,928","917,374","60,460","60,460","454,033","30,713","30,713","463,341","29,747","29,747","917,243","60,175","60,175","453,912","30,564","30,564","463,331","29,611","29,611","918,771","60,106","60,106","454,661","30,534","30,534","464,110","29,572","29,572","919,747","60,026","60,026","455,137","30,487","30,487","464,610","29,539","29,539"
"경기도 경기도 성남시 수정구 (4113100000)","230,699","13,822","13,822","116,941","6,945","6,945","113,758","6,877","6,877","230,552","13,776","13,776","116,871","6,913","6,913","113,681","6,863","6,863","230,406","13,679","13,679","116,776","6,868","6,868","113,630","6,811","6,811","230,442","13,614","13,614","116,787","6,844","6,844","113,655","6,770","6,770","233,509","13,979","13,979","118,316","7,038","7,038","115,193","6,941","6,941","235,942","14,310","14,310","119,496","7,186","7,186","116,446","7,124","7,124"
"경기도 경기도 성남시 중원구 (4113300000)","213,471","12,692","12,692","107,828","6,396","6,396","105,643","6,296","6,296","213,015","12,577","12,577","107,586","6,335","6,335","105,429","6,242","6,242","212,792","12,507","12,507","107,504","6,304","6,304","105,288","6,203","6,203","212,648","12,469","12,469","107,391","6,268","6,268","105,257","6,201","6,201","211,505","12,239","12,239","106,804","6,154","6,154","104,701","6,085","6,085","210,848","12,044","12,044","106,515","6,048","6,048","104,333","5,996","5,996"
"경기도 경기도 성남시 분당구 (4113500000)","475,601","34,747","34,747","230,471","17,794","17,794","245,130","16,953","16,953","474,510","34,497","34,497","229,925","17,674","17,674","244,585","16,823","16,823","474,176","34,274","34,274","229,753","17,541","17,541","244,423","16,733","16,733","474,153","34,092","34,092","229,734","17,452","17,452","244,419","16,640","16,640","473,757","33,888","33,888","229,541","17,342","17,342","244,216","16,546","16,546","472,957","33,672","33,672","229,126","17,253","17,253","243,831","16,419","16,419"
