"행정구역","2022년07월_계_총인구수","2022년07월_계_연령구간인구수","2022년07월_계_0~9세","2022년07월_남_총인구수","2022년07월_남_연령구간인구수","2022년07월_남_0~9세","2022년07월_여_총인구수","2022년07월_여_연령구간인구수","2022년07월_여_0~9세","2022년08월_계_총인구수","2022년08월_계_연령구간인구수","2022년08월_계_0~9세","2022년08월_남_총인구수","2022년08월_남_연령구간인구수","2022년08월_남_0~9세","2022년08월_여_총인구수","2022년08월_여_연령구간인구수","2022년08월_여_0~9세","2022년09월_계_총인구수","2022년09월_계_연령구간인구수","2022년09월_계_0~9세","2022년09월_남_총인구수","2022년09월_남_연령구간인구수","2022년09월_남_0~9세","2022년09월_여_총인구수","2022년09월_여_연령구간인구수","2022년09월_여_0~9세","2022년10월_계_총인구수","2022년10월_계_연령구간인구수","2022년10월_계_0~9세","2022년10월_남_총인구수","2022년10월_남_연령구간인구수","2022년10월_남_0~9세","2022년10월_여_총인구수","2022년10월_여_연령구간인구수","2022년10월_여_0~9세","2022년11월_계_총인구수","2022년11월_계_연령구간인구수","2022년11월_계_0~9세","2022년11월_남_총인구수","2022년11월_남_연령구간인구수","2022년11월_남_0~9세","2022년11월_여_총인구수","2022년11월_여_연령구간인구수","2022년11월_여_0~9세","2022년12월_계_총인구수","2022년12월_계_연령구간인구수","2022년12월_계_0~9세","2022년12월_남_총인구수","2022년12월_남_연령구간인구수","2022년12월_남_0~9세","2022년12월_여_총인구수","2022년12월_여_연령구간인구수","2022년12월_여_0~9세"
"경기도 경기도 의정부시 (4115000000)","463,934","31,798","31,798","228,267","16,460","16,460","235,667","15,338","15,338","464,310","31,767","31,767","228,406","16,453","16,453","235,904","15,314","15,314","463,160","31,639","31,639","227,867","16,379","16,379","235,293","15,260","15,260","463,324","31,541","31,541","227,935","16,324","16,324","235,389","15,217","15,217","463,789","31,553","31,553","228,148","16,362","16,362","235,641","15,191","15,191","463,724","31,470","31,470","228,107","16,327","16,327","235,617","15,143","15,143"
"경기도 경기도 안양시 (4117000000)","549,457","37,497","37,497","271,483","19,059","19,059","277,974","18,438","18,438","548,938","37,378","37,378","271,203","18,986","18,986","277,735","18,392","18,392","547,968","37,339","37,339","270,778","18,989","18,989","277,190","18,350","18,350","548,372","37,242","37,242","270,992","18,925","18,925","277,380","18,317","18,317","548,398","37,121","37,121","270,992","18,888","18,888","277,406","18,233","18,233","548,228","36,981","36,981","270,878","18,854","18,854","277,350","18,127","18,127"
"경기도 경기도 안양시 만안구 (4117100000)","234,363","14,152","14,152","117,123","7,104","7,104","117,240","7,048","7,048","234,083","14,119","14,119","116,942","7,082","7,082","117,141","7,037","7,037","233,963","14,162","14,162","116,869","7,109","7,109","117,094","7,053","7,053","234,331","14,163","14,163","117,050","7,104","7,104","117,281","7,059","7,059","234,296","14,122","14,122","117,037","7,095","7,095","117,259","7,027","7,027","234,394","14,061","14,061","117,092","7,078","7,078","117,302","6,983","6,983"
"경기도 경기도 안양시 동안구 (4117300000)","315,094","23,345","23,345","154,360","11,955","11,955","160,734","11,390","11,390","314,855","23,259","23,259","154,261","11,904","11,904","160,594","11,355","11,355","314,005","23,177","23,177","153,909","11,880","11,880","160,096","11,297","11,297","314,041","23,079","23,079","153,942","11,821","11,821","160,099","11,258","11,258","314,102","22,999","22,999","153,955","11,793","11,793","160,147","11,206","11,206","313,834","22,920","22,920","153,786","11,776","11,776","160,048","11,144","11,144"
"경기도 경기도 부천시 (4119000000)","797,855","50,691","50,691","395,197","26,078","26,078","402,658","24,613","24,613","796,575","50,280","50,280","394,605","25,864","25,864","401,970","24,416","24,416","793,519","49,849","49,849","393,010","25,640","25,640","400,509","24,209","24,209","792,561","49,484","49,484","392,472","25,423","25,423","400,089","24,061","24,061","791,263","49,108","49,108","391,769","25,240","25,240","399,494","23,868","23,868","790,128","48,779","48,779","391,102","25,044","25,044","399,026","23,735","23,735"
"경기도 경기도 광명시 (4121000000)","290,351","20,911","20,911","142,982","10,685","10,685","147,369","10,226","10,226","289,887","20,782","20,782","142,737","10,619","10,619","147,150","10,163","10,163","288,933","20,658","20,658","142,236","10,535","10,535","146,697","10,123","10,123","288,366","20,494","20,494","141,961","10,460","10,460","146,405","10,034","10,034","288,182","20,408","20,408","141,784","10,399","10,399","146,398","10,009","10,009","287,945","20,317","20,317","141,632","10,352","10,352","146,313","9,965","9,965"
"경기도 경기도 평택시 (4122000000)","573,987","49,761","49,761","299,953","25,245","25,245","274,034","24,516","24,516","575,007","49,704","49,704","300,748","25,231","25,231","274,259","24,473","24,473","575,032","49,604","49,604","301,038","25,165","25,165","273,994","24,439","24,439","576,192","49,485","49,485","301,796","25,126","25,126","274,396","24,359","24,359","577,335","49,319","49,319","302,598","25,048","25,048","274,737","24,271","24,271","578,529","49,207","49,207","303,283","24,988","24,988","275,246","24,219","24,219"
"경기도 경기도 동두천시 (4125000000)","92,840","5,498","5,498","46,318","2,821","2,821","46,522","2,677","2,677","92,744","5,459","5,459","46,252","2,800","2,800","46,492","2,659","2,659","92,084","5,427","5,427","45,934","2,793","2,793","46,150","2,634","2,634","91,980","5,395","5,395","45,875","2,781","2,781","46,105","2,614","2,614","91,735","5,347","5,347","45,737","2,746","2,746","45,998","2,601","2,601","91,546","5,300","5,300","45,673","2,729","2,729","45,873","2,571","2,571"
"경기도 경기도 안산시 (4127000000)","648,164","39,903","39,903","332,307","20,410","20,410","315,857","19,493","19,493","647,266","39,664","39,664","331,906","20,275","20,275","315,360","19,389","19,389","645,952","39,417","39,417","331,241","20,174","20,174","314,711","19,243","19,243","644,583","39,073","39,073","330,483","19,961","19,961","314,100","19,112","19,112","643,044","38,770","38,770","329,635","19,818","19,818","313,409","18,952","18,952","641,660","38,458","38,458","328,940","19,669","19,669","312,720","18,789","18,789"
"경기도 경기도 안산시 상록구 (4127100000)","348,345","20,769","20,769","177,761","10,607","10,607","170,584","10,162","10,162","347,832","20,635","20,635","177,534","10,540","10,540","170,298","10,095","10,095","347,348","20,495","20,495","177,269","10,475","10,475","170,079","10,020","10,020","346,589","20,294","20,294","176,832","10,351","10,351","169,757","9,943","9,943","345,535","20,099","20,099","176,279","10,271","10,271","169,256","9,828","9,828","344,664","19,943","19,943","175,811","10,196","10,196","168,853","9,747","9,747"
"경기도 경기도 안산시 단원구 (4127300000)","299,819","19,134","19,134","154,546","9,803","9,803","145,273","9,331","9,331","299,434","19,029","19,029","154,372","9,735","9,735","145,062","9,294","9,294","298,604","18,922","18,922","153,972","9,699","9,699","144,632","9,223","9,223","297,994","18,779","18,779","153,651","9,610","9,610","144,343","9,169","9,169","297,509","18,671","18,671","153,356","9,547","9,547","144,153","9,124","9,124","296,996","18,515","18,515","153,129","9,473","9,473","143,867","9,042","9,042"
