"행정구역","2021년07월_계_총인구수","2021년07월_계_연령구간인구수","2021년07월_계_0~9세","2021년07월_남_총인구수","2021년07월_남_연령구간인구수","2021년07월_남_0~9세","2021년07월_여_총인구수","2021년07월_여_연령구간인구수","2021년07월_여_0~9세","2021년08월_계_총인구수","2021년08월_계_연령구간인구수","2021년08월_계_0~9세","2021년08월_남_총인구수","2021년08월_남_연령구간인구수","2021년08월_남_0~9세","2021년08월_여_총인구수","2021년08월_여_연령구간인구수","2021년08월_여_0~9세","2021년09월_계_총인구수","2021년09월_계_연령구간인구수","2021년09월_계_0~9세","2021년09월_남_총인구수","2021년09월_남_연령구간인구수","2021년09월_남_0~9세","2021년09월_여_총인구수","2021년09월_여_연령구간인구수","2021년09월_여_0~9세","2021년10월_계_총인구수","2021년10월_계_연령구간인구수","2021년10월_계_0~9세","2021년10월_남_총인구수","2021년10월_남_연령구간인구수","2021년10월_남_0~9세","2021년10월_여_총인구수","2021년10월_여_연령구간인구수","2021년10월_여_0~9세","2021년11월_계_총인구수","2021년11월_계_연령구간인구수","2021년11월_계_0~9세","2021년11월_남_총인구수","2021년11월_남_연령구간인구수","2021년11월_남_0~9세","2021년11월_여_총인구수","2021년11월_여_연령구간인구수","2021년11월_여_0~9세","2021년12월_계_총인구수","2021년12월_계_연령구간인구수","2021년12월_계_0~9세","2021년12월_남_총인구수","2021년12월_남_연령구간인구수","2021년12월_남_0~9세","2021년12월_여_총인구수","2021년12월_여_연령구간인구수","2021년12월_여_0~9세"
"경기도  (4100000000)","13,512,867","1,119,413","1,119,413","6,801,008","573,001","573,001","6,711,859","546,412","546,412","13,530,519","1,115,729","1,115,729","6,810,105","571,021","571,021","6,720,414","544,708","544,708","13,542,284","1,111,291","1,111,291","6,816,449","568,695","568,695","6,725,835","542,596","542,596","13,549,577","1,106,832","1,106,832","6,820,025","566,395","566,395","6,729,552","540,437","540,437","13,557,973","1,103,092","1,103,092","6,823,931","564,452","564,452","6,734,042","538,640","538,640","13,565,450","1,099,927","1,099,927","6,827,298","562,739","562,739","6,738,152","537,188","537,188"
"경기도 경기도 수원시 (4111000000)","1,183,615","93,371","93,371","595,883","48,127","48,127","587,732","45,244","45,244","1,183,419","92,804","92,804","595,810","47,809","47,809","587,609","44,995","44,995","1,184,754","92,503","92,503","596,543","47,623","47,623","588,211","44,880","44,880","1,185,276","92,127","92,127","596,863","47,446","47,446","588,413","44,681","44,681","1,184,683","91,576","91,576","596,491","47,140","47,140","588,192","44,436","44,436","1,183,714","91,037","91,037","595,933","46,850","46,850","587,781","44,187","44,187"
"경기도 경기도 수원시 장안구 (4111100000)","270,044","17,191","17,191","135,998","8,826","8,826","134,046","8,365","8,365","269,906","17,083","17,083","135,945","8,777","8,777","133,961","8,306","8,306","272,625","17,527","17,527","137,328","8,986","8,986","135,297","8,541","8,541","273,854","17,640","17,640","137,955","9,043","9,043","135,899","8,597","8,597","274,107","17,580","17,580","138,058","9,000","9,000","136,049","8,580","8,580","273,835","17,502","17,502","137,861","8,954","8,954","135,974","8,548","8,548"
"경기도 경기도 수원시 권선구 (4111300000)","365,157","30,971","30,971","184,424","15,975","15,975","180,733","14,996","14,996","365,103","30,769","30,769","184,433","15,850","15,850","180,670","14,919","14,919","364,671","30,455","30,455","184,206","15,679","15,679","180,465","14,776","14,776","364,416","30,202","30,202","184,052","15,542","15,542","180,364","14,660","14,660","364,164","29,976","29,976","183,962","15,436","15,436","180,202","14,540","14,540","364,136","29,791","29,791","183,925","15,330","15,330","180,211","14,461","14,461"
"경기도 경기도 수원시 팔달구 (4111500000)","183,198","10,348","10,348","92,352","5,228","5,228","90,846","5,120","5,120","183,288","10,305","10,305","92,377","5,212","5,212","90,911","5,093","5,093","182,925","10,173","10,173","92,230","5,147","5,147","90,695","5,026","5,026","182,600","10,111","10,111","92,088","5,128","5,128","90,512","4,983","4,983","182,390","10,037","10,037","91,937","5,084","5,084","90,453","4,953","4,953","182,321","10,055","10,055","91,926","5,102","5,102","90,395","4,953","4,953"
"경기도 경기도 수원시 영통구 (4111700000)","365,216","34,861","34,861","183,109","18,098","18,098","182,107","16,763","16,763","365,122","34,647","34,647","183,055","17,970","17,970","182,067","16,677","16,677","364,533","34,348","34,348","182,779","17,811","17,811","181,754","16,537","16,537","364,406","34,174","34,174","182,768","17,733","17,733","181,638","16,441","16,441","364,022","33,983","33,983","182,534","17,620","17,620","181,488","16,363","16,363","363,422","33,689","33,689","182,221","17,464","17,464","181,201","16,225","16,225"
"경기도 경기도 성남시 (4113000000)","931,756","66,842","66,842","461,613","34,196","34,196","470,143","32,646","32,646","931,931","66,673","66,673","461,612","34,098","34,098","470,319","32,575","32,575","931,760","66,429","66,429","461,496","33,959","33,959","470,264","32,470","32,470","931,319","66,062","66,062","461,315","33,768","33,768","470,004","32,294","32,294","931,063","65,796","65,796","461,205","33,611","33,611","469,858","32,185","32,185","930,948","65,673","65,673","461,131","33,541","33,541","469,817","32,132","32,132"
"경기도 경기도 성남시 수정구 (4113100000)","236,351","15,094","15,094","119,613","7,636","7,636","116,738","7,458","7,458","235,720","14,935","14,935","119,326","7,548","7,548","116,394","7,387","7,387","235,530","14,908","14,908","119,231","7,542","7,542","116,299","7,366","7,366","235,980","14,976","14,976","119,485","7,578","7,578","116,495","7,398","7,398","236,076","14,956","14,956","119,554","7,569","7,569","116,522","7,387","7,387","235,988","14,911","14,911","119,517","7,547","7,547","116,471","7,364","7,364"
"경기도 경기도 성남시 중원구 (4113300000)","214,189","12,809","12,809","108,571","6,554","6,554","105,618","6,255","6,255","213,784","12,720","12,720","108,332","6,505","6,505","105,452","6,215","6,215","213,280","12,638","12,638","108,053","6,458","6,458","105,227","6,180","6,180","212,478","12,461","12,461","107,644","6,360","6,360","104,834","6,101","6,101","211,658","12,325","12,325","107,220","6,285","6,285","104,438","6,040","6,040","210,777","12,166","12,166","106,772","6,214","6,214","104,005","5,952","5,952"
"경기도 경기도 성남시 분당구 (4113500000)","481,216","38,939","38,939","233,429","20,006","20,006","247,787","18,933","18,933","482,427","39,018","39,018","233,954","20,045","20,045","248,473","18,973","18,973","482,950","38,883","38,883","234,212","19,959","19,959","248,738","18,924","18,924","482,861","38,625","38,625","234,186","19,830","19,830","248,675","18,795","18,795","483,329","38,515","38,515","234,431","19,757","19,757","248,898","18,758","18,758","484,183","38,596","38,596","234,842","19,780","19,780","249,341","18,816","18,816"
