기준연도,시군명,연령대,성별,결제건수,결제금액,결제취소건수,결제취소금액,1회평균결제금액
2023,광주시,30대,여,771656,19271957151.0,7957.0,473006402.0,24975.0
2023,광주시,40대,남,1113261,31169712640.0,11501.0,774923595.0,27999.0
2023,광주시,40대,여,1401922,37933885092.0,12135.0,641139298.0,27058.0
2023,광주시,50대,남,824556,20319249745.0,8406.0,566468062.0,24643.0
2023,광주시,50대,여,868646,21092996247.0,8662.0,458813330.0,24283.0
2023,광주시,60대,남,533569,12924744047.0,6927.0,493460493.0,24223.0
2023,광주시,60대,여,577500,13833351457.0,6332.0,313727626.0,23954.0
2023,광주시,70대,남,171976,4063928268.0,2271.0,146714643.0,23631.0
2023,광주시,70대,여,185273,4168051927.0,1817.0,79724354.0,22497.0
2023,광주시,80대 이상,남,34251,767079317.0,329.0,16380631.0,22396.0
2023,광주시,80대 이상,여,31270,688195860.0,278.0,11745157.0,22008.0
2023,광주시,기타,-,77898,1894533584.0,567.0,20731567.0,24321.0
2023,구리시,10대,남,31136,742094273.0,124.0,11566484.0,23834.0
2023,구리시,10대,여,31384,823811619.0,180.0,8853738.0,26249.0
2023,구리시,20대,남,209573,3218352057.0,989.0,21625471.0,15357.0
2023,구리시,20대,여,208250,4107509806.0,1304.0,44134353.0,19724.0
2023,구리시,30대,남,253572,5984824566.0,1359.0,72412263.0,23602.0
2023,구리시,30대,여,379935,9933929773.0,2452.0,141788994.0,26146.0
2023,구리시,40대,남,535541,17792013122.0,3051.0,197023542.0,33223.0
2023,구리시,40대,여,867625,27286748457.0,5500.0,339569865.0,31450.0
2023,구리시,50대,남,357993,9203810973.0,1768.0,87023651.0,25709.0
2023,구리시,50대,여,431653,10351579496.0,2860.0,107901236.0,23981.0
2023,구리시,60대,남,161070,3069612174.0,752.0,17719281.0,19058.0
2023,구리시,60대,여,170431,3837005706.0,1261.0,39242776.0,22514.0
2023,구리시,70대,남,34608,704535127.0,211.0,7366620.0,20358.0
2023,구리시,70대,여,43549,997666810.0,329.0,14461471.0,22909.0
2023,구리시,80대 이상,남,6944,136134752.0,41.0,2190169.0,19605.0
2023,구리시,80대 이상,여,7217,150470366.0,55.0,760055.0,20849.0
2023,구리시,기타,-,4287,112000992.0,43.0,1348365.0,26126.0
2023,군포시,10대,남,76770,1752566906.0,375.0,22216716.0,22829.0
2023,군포시,10대,여,71898,1832333585.0,475.0,32143816.0,25485.0
2023,군포시,20대,남,344381,5265046697.0,2170.0,94964861.0,15288.0
2023,군포시,20대,여,345869,6172343395.0,2484.0,91679700.0,17846.0
2023,군포시,30대,남,424234,8688709211.0,3658.0,235250426.0,20481.0
2023,군포시,30대,여,523279,11421495566.0,3881.0,205857590.0,21827.0
2023,군포시,40대,남,613408,16219670443.0,4520.0,276690916.0,26442.0
2023,군포시,40대,여,958492,22899080769.0,6892.0,322551936.0,23891.0
2023,군포시,50대,남,587998,12236025092.0,4163.0,230173861.0,20810.0
2023,군포시,50대,여,853887,15541950447.0,6083.0,217281394.0,18201.0
2023,군포시,60대,남,370080,6602783988.0,3008.0,145770493.0,17842.0
2023,군포시,60대,여,558376,9564752871.0,4619.0,153155598.0,17130.0
2023,군포시,70대,남,120742,2058204335.0,937.0,42134466.0,17046.0
2023,군포시,70대,여,159486,2628235510.0,1329.0,40560711.0,16479.0
2023,군포시,80대 이상,남,26537,442375407.0,215.0,7454739.0,16670.0
2023,군포시,80대 이상,여,31887,527473820.0,227.0,6831914.0,16542.0
2023,군포시,기타,-,5469,82920786.0,62.0,1640722.0,15162.0
2023,김포시,10대,남,49456,1450919752.0,198.0,12142385.0,29338.0
2023,김포시,10대,여,62754,1783550018.0,255.0,15430773.0,28421.0
2023,김포시,20대,남,246694,4620840097.0,1184.0,38245740.0,18731.0
2023,김포시,20대,여,335650,6793438270.0,1796.0,67665568.0,20240.0
2023,김포시,30대,남,416574,11967537269.0,1687.0,96391282.0,28728.0
2023,김포시,30대,여,778568,24614795984.0,3106.0,218870171.0,31615.0
2023,김포시,40대,남,693013,28815361879.0,2767.0,195664679.0,41580.0
2023,김포시,40대,여,1147321,44830102859.0,5216.0,333884467.0,39074.0
2023,김포시,50대,남,402978,11129409824.0,1426.0,69662957.0,27618.0
2023,김포시,50대,여,548866,13686755612.0,2411.0,113067267.0,24936.0
2023,김포시,60대,남,185466,4171889899.0,699.0,30003694.0,22494.0
2023,김포시,60대,여,232976,5707032929.0,1236.0,51486390.0,24496.0
2023,김포시,70대,남,50158,1147185600.0,261.0,12077342.0,22871.0
2023,김포시,70대,여,52338,1349813801.0,346.0,17347845.0,25790.0
2023,김포시,80대 이상,남,8071,195085563.0,33.0,1803768.0,24171.0
2023,김포시,80대 이상,여,7571,201382760.0,38.0,1408498.0,26599.0
2023,김포시,기타,-,127115,3612355769.0,975.0,36271816.0,28418.0
2023,남양주시,10대,남,120609,3223216438.0,468.0,23512466.0,26725.0
2023,남양주시,10대,여,117555,3420842899.0,629.0,34039656.0,29100.0
2023,남양주시,20대,남,554924,9394721535.0,2811.0,81687893.0,16930.0
2023,남양주시,20대,여,586355,11422860896.0,4029.0,126277245.0,19481.0
2023,남양주시,30대,남,663753,16060223328.0,3599.0,164017051.0,24196.0
2023,남양주시,30대,여,1070790,29980702547.0,6845.0,354370426.0,27999.0
2023,남양주시,40대,남,1378508,46827204598.0,7577.0,445501525.0,33969.0
2023,남양주시,40대,여,2178160,69219398494.0,13455.0,711148651.0,31779.0
2023,남양주시,50대,남,872129,21523196648.0,4155.0,166119355.0,24679.0
2023,남양주시,50대,여,929344,21752473060.0,5899.0,196364515.0,23406.0
2023,남양주시,60대,남,326450,6443127916.0,1667.0,50127361.0,19737.0
2023,남양주시,60대,여,328452,7650894163.0,2592.0,93396698.0,23294.0
2023,남양주시,70대,남,85478,1765933756.0,577.0,16634131.0,20660.0
2023,남양주시,70대,여,95155,2262447381.0,683.0,26232088.0,23776.0
2023,남양주시,80대 이상,남,17597,376550825.0,82.0,2964906.0,21399.0
2023,남양주시,80대 이상,여,17716,375075142.0,151.0,3548793.0,21172.0
2023,동두천시,10대,남,3900,106593854.0,23.0,415270.0,27332.0
2023,동두천시,10대,여,5568,141038814.0,29.0,1797180.0,25330.0
2023,동두천시,20대,남,62422,1216212431.0,755.0,38839668.0,19484.0
2023,동두천시,20대,여,60770,1277408565.0,674.0,30788416.0,21020.0
2023,동두천시,30대,남,75213,1932468677.0,1032.0,85718183.0,25693.0
2023,동두천시,30대,여,89512,2442484383.0,868.0,42188993.0,27287.0
2023,동두천시,40대,남,129241,3859895299.0,1278.0,80581725.0,29866.0
2023,동두천시,40대,여,152506,4761064514.0,1301.0,65602785.0,31219.0
2023,동두천시,50대,남,128061,3055773119.0,997.0,63489524.0,23862.0
2023,동두천시,50대,여,105676,2737366056.0,888.0,45490829.0,25903.0
2023,동두천시,60대,남,72417,1701872064.0,826.0,59889818.0,23501.0
2023,동두천시,60대,여,54353,1420010574.0,542.0,28624133.0,26126.0
2023,동두천시,70대,남,20206,476650808.0,223.0,16452241.0,23590.0
2023,동두천시,70대,여,12865,331069290.0,112.0,5123000.0,25734.0
2023,동두천시,80대 이상,남,4161,78605466.0,36.0,2446511.0,18891.0
2023,동두천시,80대 이상,여,3259,64407654.0,33.0,2407000.0,19763.0
2023,동두천시,기타,-,17820,470679886.0,163.0,7160592.0,26413.0
2023,부천시,10대,남,106048,2550472156.0,473.0,24417635.0,24050.0
2023,부천시,10대,여,112089,2710497246.0,616.0,25741114.0,24182.0
2023,부천시,20대,남,858320,12366317671.0,4195.0,96955350.0,14408.0
2023,부천시,20대,여,906441,14778614380.0,5978.0,149225666.0,16304.0
2023,부천시,30대,남,1051750,19634705410.0,5402.0,212775553.0,18669.0
2023,부천시,30대,여,1343177,28358411217.0,8161.0,342700312.0,21113.0
2023,부천시,40대,남,1498371,39243590824.0,7511.0,342355211.0,26191.0
2023,부천시,40대,여,2153181,52115428206.0,12404.0,510043203.0,24204.0
2023,부천시,50대,남,1246082,23088468254.0,6305.0,167112705.0,18529.0
2023,부천시,50대,여,1827109,30088256395.0,9958.0,230967318.0,16468.0
2023,부천시,60대,남,837103,12811178191.0,4167.0,83698101.0,15304.0
2023,부천시,60대,여,1283996,20199711526.0,8118.0,187416554.0,15732.0
2023,부천시,70대,남,239829,3709333514.0,1329.0,29475766.0,15467.0
2023,부천시,70대,여,314527,4955298747.0,1968.0,45465252.0,15755.0
2023,부천시,80대 이상,남,31257,509411981.0,224.0,6098122.0,16298.0
2023,부천시,80대 이상,여,46592,745683566.0,332.0,7052413.0,16005.0
2023,부천시,기타,-,19908,290191192.0,181.0,3159169.0,14577.0
2023,성남시,10대,남,57172,1953692569.0,297.0,14470201.0,34172.0
2023,성남시,10대,여,75556,2226348168.0,332.0,15835123.0,29466.0
2023,성남시,20대,남,274141,6234797583.0,2810.0,86335236.0,22743.0
2023,성남시,20대,여,430939,9961944875.0,2793.0,99154576.0,23117.0
2023,성남시,30대,남,480850,16167518143.0,1934.0,134942299.0,33623.0
2023,성남시,30대,여,983992,39037960469.0,3781.0,338706325.0,39673.0
2023,성남시,40대,남,610633,24751621508.0,2184.0,172821653.0,40534.0
2023,성남시,40대,여,1656387,77928928636.0,6362.0,551554571.0,47048.0
2023,성남시,50대,남,376520,12038668248.0,1045.0,69303882.0,31974.0
2023,성남시,50대,여,889370,26036539011.0,3278.0,171939648.0,29275.0
2023,성남시,60대,남,154020,3875772275.0,480.0,20198295.0,25164.0
2023,성남시,60대,여,294472,7712094699.0,954.0,49445327.0,26190.0
2023,성남시,70대,남,31032,961631596.0,112.0,6692320.0,30988.0
2023,성남시,70대,여,39376,1259972058.0,216.0,11722758.0,31998.0
2023,성남시,80대 이상,남,3576,142936964.0,15.0,834758.0,39971.0
2023,성남시,80대 이상,여,5805,203687167.0,38.0,1977890.0,35088.0
2023,수원시,10대,남,137983,3425911604.0,652.0,35837676.0,24829.0
2023,수원시,10대,여,144662,3438136987.0,797.0,40277008.0,23767.0
2023,수원시,20대,남,1250300,19725598180.0,7098.0,193758506.0,15777.0
2023,수원시,20대,여,1256696,22633826424.0,9736.0,270367451.0,18011.0
2023,수원시,30대,남,1396777,31107315083.0,7974.0,328980188.0,22271.0
2023,수원시,30대,여,1599271,41328465081.0,10503.0,514499932.0,25842.0
2023,수원시,40대,남,1923316,60163305202.0,10525.0,610684261.0,31281.0
2023,수원시,40대,여,2484653,71382130068.0,14955.0,742492357.0,28729.0
